geoid,name,year,median_rent,median_income,total_population,total_housing_units,pct_white_nonhisp,pct_poverty,total_bike_length_m,bike_length_km,tract_area_km2,pop_density
17031825304,Census Tract 8253.04; Cook County; Illinois,2022,1221,92039,4192,1631,0.8203721374045801,0.0703181057163358,0,0,2.3332516309339106,1796.6343382869957
17031825400,"Census Tract 8254, Cook County, Illinois",2012,932,65284,6043,2571,0.841469468806884,0.10623862320039715,0,0,7.474985882729416,808.4296204441071
17031825400,"Census Tract 8254, Cook County, Illinois",2016,965,61429,5366,2527,0.7720834886321282,0.0920611256056653,0,0,7.474985882729416,717.8608875232629
17031825400,Census Tract 8254; Cook County; Illinois,2022,1285,91881,5502,2656,0.6326790258087968,0.09109127345600292,0,0,7.474985882729416,736.0549018175536
17031825501,"Census Tract 8255.01, Cook County, Illinois",2012,1767,48711,6158,2131,0.13559597271841506,0.10337972166998012,0,0,6.029882090625932,1021.2471666026837
17031825501,"Census Tract 8255.01, Cook County, Illinois",2016,1558,47981,5254,2173,0.10182717929196802,0.18833396873808617,0,0,6.029882090625932,871.327153837366
17031825501,Census Tract 8255.01; Cook County; Illinois,2022,1379,63603,5493,2017,0.05789186237028946,0.09977867945407598,0,0,6.029882090625932,910.9630864158073
17031825503,"Census Tract 8255.03, Cook County, Illinois",2012,1552,56138,6616,2693,0.15764812575574366,0.21179138321995464,0,0,5.111732165689988,1294.277514069825
17031825503,"Census Tract 8255.03, Cook County, Illinois",2016,1752,55430,7095,2525,0.11811134601832277,0.16671368124118477,0,0,5.111732165689988,1387.983519093925
17031825503,Census Tract 8255.03; Cook County; Illinois,2022,2010,63104,7559,2802,0.08427040613837809,0.21211316243857087,0,0,5.111732165689988,1478.755098073429
17031825504,"Census Tract 8255.04, Cook County, Illinois",2012,985,53496,3813,1367,0.07028586414896407,0.14387164650184114,0,0,2.618225250345346,1456.330008083553
17031825504,"Census Tract 8255.04, Cook County, Illinois",2016,1238,49688,3853,1395,0.053205294575655336,0.06104270369400053,0,0,2.618225250345346,1471.6075324274664
17031825504,Census Tract 8255.04; Cook County; Illinois,2022,1377,64360,3222,1347,0.06610800744878957,0.11166718798873944,0,0,2.618225250345346,1230.604585902231
17031825505,"Census Tract 8255.05, Cook County, Illinois",2012,1443,57369,5113,1923,0.10365734402503422,0.11664012738853503,0,0,5.205179911687911,982.290734758096
17031825505,"Census Tract 8255.05, Cook County, Illinois",2016,1335,61738,5427,2002,0.09913395983047725,0.16366027809094325,0,0,5.205179911687911,1042.6152586607056
17031825505,Census Tract 8255.05; Cook County; Illinois,2022,2179,69785,5346,1821,0.05817433595211373,0.14349601399961112,0,0,5.205179911687911,1027.0538368896503
17031825600,"Census Tract 8256, Cook County, Illinois",2012,1315,48301,5305,2052,0.12403393025447691,0.18847174819871065,0,0,6.2457785205645555,849.3736981759772
17031825600,"Census Tract 8256, Cook County, Illinois",2016,1024,37334,5592,2138,0.08762517882689556,0.28422378125562153,0,0,6.2457785205645555,895.324735193226
17031825600,Census Tract 8256; Cook County; Illinois,2022,1532,52734,5332,1754,0.11515378844711177,0.2289947486871718,0,0,6.2457785205645555,853.6966180347428
17031825700,"Census Tract 8257, Cook County, Illinois",2012,913,39871,4208,1677,0.1328422053231939,0.19248584662892435,0,0,5.013161447208038,839.3904812986915
17031825700,"Census Tract 8257, Cook County, Illinois",2016,936,44048,4212,1567,0.15052231718898385,0.23400976110968405,0,0,5.013161447208038,840.1883809957435
17031825700,Census Tract 8257; Cook County; Illinois,2022,1114,53397,4028,1686,0.10203574975173783,0.11004273504273504,0,0,5.013161447208038,803.484994931352
17031825801,"Census Tract 8258.01, Cook County, Illinois",2012,1017,34348,3803,1753,0.07678148829871155,0.24244017880620564,0,0,2.6446388681043222,1438.0035194468692
17031825801,"Census Tract 8258.01, Cook County, Illinois",2016,969,36693,3397,1840,0.0727112157786282,0.3344127171033265,0,0,2.6446388681043222,1284.4853945729726
17031825801,Census Tract 8258.01; Cook County; Illinois,2022,1166,41100,3448,1879,0.03944315545243619,0.3642691415313225,0,0,2.6446388681043222,1303.7696910472798
17031825802,"Census Tract 8258.02, Cook County, Illinois",2012,975,45259,4515,2267,0.09102990033222591,0.18205980066445182,0,0,1.4982752627249971,3013.4649568920445
17031825802,"Census Tract 8258.02, Cook County, Illinois",2016,1031,43065,5974,2348,0.034482758620689655,0.09558085035152326,0,0,1.4982752627249971,3987.2513073030063
17031825802,Census Tract 8258.02; Cook County; Illinois,2022,1421,70346,7239,2507,0.01740571902196436,0.1508169250104734,0,0,1.4982752627249971,4831.555442511963
17031825803,"Census Tract 8258.03, Cook County, Illinois",2012,807,39119,5477,2656,0.07029395654555413,0.10936644148256344,0,0,1.7424220564105994,3143.3256826894485
17031825803,"Census Tract 8258.03, Cook County, Illinois",2016,915,47216,5339,2635,0.06930136729724667,0.17750141322781232,0,0,1.7424220564105994,3064.1255833264495
17031825803,Census Tract 8258.03; Cook County; Illinois,2022,814,63966,5761,2650,0.06405137996875543,0.1348747591522158,0,0,1.7424220564105994,3306.3171915234457
17031825900,"Census Tract 8259, Cook County, Illinois",2012,926,41689,2989,1276,0.19605219136835061,0.24821973550356052,0,0,1.6153272863446657,1850.3990028942228
17031825900,"Census Tract 8259, Cook County, Illinois",2016,871,37500,3780,1326,0.14285714285714285,0.28841041998936734,0,0,1.6153272863446657,2340.083048156628
17031825900,Census Tract 8259; Cook County; Illinois,2022,1213,60833,3442,1285,0.0694363742010459,0.3053457292271935,0,0,1.6153272863446657,2130.8375269193425
17031826000,"Census Tract 8260, Cook County, Illinois",2012,847,36199,3643,1373,0.08948668679659622,0.31046831955922866,0,0,1.9580525847386616,1860.5220454210762
17031826000,"Census Tract 8260, Cook County, Illinois",2016,915,41449,2986,1319,0.1336235766912257,0.27595445411922304,0,0,1.9580525847386616,1524.9845807376705
17031826000,Census Tract 8260; Cook County; Illinois,2022,969,60668,2724,1402,0.15491923641703378,0.2841409691629956,0,0,1.9580525847386616,1391.1781640754905
17031826100,"Census Tract 8261, Cook County, Illinois",2012,1091,50943,6977,2611,0.21714203812526875,0.17041708470689407,0,0,3.6407857355291378,1916.34457691754
17031826100,"Census Tract 8261, Cook County, Illinois",2016,1170,51477,7227,2551,0.15317559153175592,0.18989109187377828,0,0,3.6407857355291378,1985.0110731522232
17031826100,Census Tract 8261; Cook County; Illinois,2022,1239,50918,4698,2622,0.1387824606215411,0.14261387824606214,0,0,3.6407857355291378,1290.3807972421675
17031826201,"Census Tract 8262.01, Cook County, Illinois",2012,741,31319,3696,2152,0.10037878787878787,0.20142045454545454,0,0,6.028526483557502,613.0851394749034
17031826201,"Census Tract 8262.01, Cook County, Illinois",2016,775,31802,3569,2146,0.14541888484169235,0.15162241887905606,0,0,6.028526483557502,592.0186317061499
17031826201,Census Tract 8262.01; Cook County; Illinois,2022,995,41614,3837,2431,0.06515506906437321,0.17354235423542355,0,0,6.028526483557502,636.4739394386376
17031826202,"Census Tract 8262.02, Cook County, Illinois",2012,1255,47781,6421,2285,0.20775580127705964,0.22531685182287592,0,0,2.1653538785961564,2965.335164598069
17031826202,"Census Tract 8262.02, Cook County, Illinois",2016,983,47500,5829,2324,0.15920398009950248,0.18579516212043232,0,0,2.1653538785961564,2691.9387438782346
17031826202,Census Tract 8262.02; Cook County; Illinois,2022,1112,59767,5662,2210,0.1962204168138467,0.2557400211939244,0,0,2.1653538785961564,2614.8150914116595
17031826301,"Census Tract 8263.01, Cook County, Illinois",2012,1010,62404,3911,1523,0.06852467399642036,0.08447077002317796,0,0,2.4553323984792126,1592.8596887421031
17031826301,"Census Tract 8263.01, Cook County, Illinois",2016,948,63421,3998,1528,0.057528764382191094,0.1306091752318877,0,0,2.4553323984792126,1628.292773099189
17031826301,Census Tract 8263.01; Cook County; Illinois,2022,1665,65679,4365,1612,0.027949599083619703,0.0838487972508591,0,0,2.4553323984792126,1777.763370329655
17031826303,"Census Tract 8263.03, Cook County, Illinois",2012,1481,64886,4136,1456,0.04231141199226306,0.08099613152804643,0,0,1.5594908108999768,2652.1477209686977
17031826303,"Census Tract 8263.03, Cook County, Illinois",2016,1303,44653,4292,1449,0.05149114631873253,0.2169151910531221,0,0,1.5594908108999768,2752.1803719530103
17031826303,Census Tract 8263.03; Cook County; Illinois,2022,1698,77151,3646,1403,0.05375754251234229,0.10696653867251783,0,0,1.5594908108999768,2337.9425992872034
17031826304,"Census Tract 8263.04, Cook County, Illinois",2012,892,47788,3138,1511,0.04684512428298279,0.2373043755988502,0,0,1.2723803419860726,2466.2436980925536
17031826304,"Census Tract 8263.04, Cook County, Illinois",2016,932,31683,2780,1432,0.02446043165467626,0.29244604316546763,0,0,1.2723803419860726,2184.8812876664433
17031826304,Census Tract 8263.04; Cook County; Illinois,2022,1182,50000,2947,1525,0.0668476416694944,0.2127733425893787,0,0,1.2723803419860726,2316.1313506305787
17031826401,"Census Tract 8264.01, Cook County, Illinois",2012,986,53165,4550,1609,0.023516483516483517,0.11528268551236749,0,0,3.227968511094069,1409.555261881365
17031826401,"Census Tract 8264.01, Cook County, Illinois",2016,1201,54453,3811,1548,0.018630280766203097,0.17606747496046388,0,0,3.227968511094069,1180.6187039626113
17031826401,Census Tract 8264.01; Cook County; Illinois,2022,1449,52043,3337,1523,0.012286484866646689,0.21674092934436665,0,0,3.227968511094069,1033.7771228347506
17031826402,"Census Tract 8264.02, Cook County, Illinois",2012,1203,57198,4782,1947,0.09096612296110414,0.1337011884550085,0,0,2.035936682023064,2348.7960319317176
17031826402,"Census Tract 8264.02, Cook County, Illinois",2016,1218,48281,5063,1896,0.04602014615840411,0.18889111690395027,0,0,2.035936682023064,2486.8160413363207
17031826402,Census Tract 8264.02; Cook County; Illinois,2022,1605,49803,5109,2038,0.03307888040712468,0.22751852593631083,0,0,2.035936682023064,2509.4100642281774
17031826500,"Census Tract 8265, Cook County, Illinois",2012,1168,45379,6410,2408,0.04586583463338534,0.2505094842451795,0,0,3.5933654324344793,1783.8430631468705
17031826500,"Census Tract 8265, Cook County, Illinois",2016,1159,41405,6505,2233,0.05887778631821675,0.39090909090909093,0,0,3.5933654324344793,1810.280674847175
17031826500,Census Tract 8265; Cook County; Illinois,2022,1335,53235,5599,2473,0.05072334345418825,0.25718878371137704,0,0,3.5933654324344793,1558.1493464211119
17031826600,"Census Tract 8266, Cook County, Illinois",2012,849,46375,5907,2382,0.05298798036228204,0.24677966101694915,0,0,1.5118670754490036,3907.0895159521237
17031826600,"Census Tract 8266, Cook County, Illinois",2016,877,30769,5881,2525,0.029416765856146915,0.30454004421016834,0,0,1.5118670754490036,3889.8922368908816
17031826600,Census Tract 8266; Cook County; Illinois,2022,1289,41411,4872,2072,0.006568144499178982,0.3341543513957307,0,0,1.5118670754490036,3222.505522552691
17031826700,"Census Tract 8267, Cook County, Illinois",2012,912,39133,5310,2572,0.04952919020715631,0.16799242424242425,0,0,1.117895477648293,4749.996852273345
17031826700,"Census Tract 8267, Cook County, Illinois",2016,759,31474,5319,2732,0.03459296860312089,0.2712055670490878,0,0,1.117895477648293,4758.047694395843
17031826700,Census Tract 8267; Cook County; Illinois,2022,1218,48014,4390,2301,0.04236902050113895,0.296600501939311,0,0,1.117895477648293,3927.02187975141
17031826800,"Census Tract 8268, Cook County, Illinois",2012,779,37143,4819,2063,0.12658227848101267,0.3603094939355918,0,0,7.941648227807839,606.8009891355016
17031826800,"Census Tract 8268, Cook County, Illinois",2016,881,37281,5055,2039,0.08170128585558853,0.3017821782178218,0,0,7.941648227807839,636.5177422867733
17031826800,Census Tract 8268; Cook County; Illinois,2022,1139,57702,4942,1918,0.10785107244030757,0.23978146499392958,0,0,7.941648227807839,622.2889579389187
17031826901,"Census Tract 8269.01, Cook County, Illinois",2012,1096,31111,1789,891,0.08160983789826719,0.3281786941580756,0,0,1.3088610806884593,1366.8371887557296
17031826901,"Census Tract 8269.01, Cook County, Illinois",2016,853,17425,1823,1050,0,0.45444505797901713,0,0,1.3088610806884593,1392.8139715492987
